year,make,model,trim,body,transmission,vin,branch,condition,odometer,color,interior,seller,marketprice,sellingprice,saledate
2008,GMC,Acadia,SLT-1,SUV,automatic,1gker237x8j151308,BALIKPAPAN,37.0,64647.0,blue,gray,american motors,298850000.0,279500000.0,Wed Feb 11 2019 01:15:00 GMT-0800 (PST)
2013,Ford,Fiesta,SE,hatchback,automatic,3fadp4ej4dm223396,JAKARTA,5.0,7792.0,red,gray,ford motor credit company llc pd,218225000.0,219300000.0,Tue Jun 09 2019 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Camaro,LS,Coupe,manual,2g1fe1e39e9130949,JAKARTA,36.0,20351.0,black,black,santander consumer,382700000.0,361200000.0,Wed Feb 18 2019 02:30:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6eu400999,BALIKPAPAN,43.0,17877.0,blue,black,toyota motor sales usa inc/program,356900000.0,356900000.0,Tue Dec 30 2019 14:00:00 GMT-0800 (PST)
2014,Jeep,Cherokee,Sport,SUV,automatic,1c4pjmab0ew171676,BALIKPAPAN,42.0,40513.0,black,black,avis corporation,368725000.0,378400000.0,Tue Feb 03 2018 03:00:00 GMT-0800 (PST)
2006,Mercedes-Benz,C-Class,C350 Luxury,Sedan,automatic,wdbrf56h46f749615,BALIKPAPAN,26.0,55908.0,black,gray,remarketing by ge/flagship credit acceptance,153187500.0,150500000.0,Thu Jun 18 2019 03:00:00 GMT-0700 (PDT)
2014,Honda,Civic,Hybrid w/Leather,Sedan,automatic,19xfb4f37ee200238,BALIKPAPAN,48.0,7868.0,black,tan,american honda motor company,384850000.0,430000000.0,Thu Feb 26 2018 04:00:00 GMT-0800 (PST)
2012,Jeep,Patriot,Sport,SUV,automatic,1c4njpbb2cd618220,JAKARTA,44.0,37942.0,black,gray,santander consumer,246175000.0,268750000.0,Mon Feb 02 2019 01:30:00 GMT-0800 (PST)
2002,Toyota,Corolla,LE,Sedan,manual,1nxbr12e32z574371,SURABAYA,25.0,133290.0,silver,gray,autonation acura sanford,42462500.0,40850000.0,Tue Jan 20 2019 10:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcgxer253160,BALIKPAPAN,4.0,27145.0,gold,black,hertz corporation/gdp,356900000.0,359050000.0,Mon Feb 16 2018 04:30:00 GMT-0800 (PST)
2014,Audi,A7,Premium Plus quattro,Sedan,automatic,wauwgafc2en017435,BALIKPAPAN,39.0,7547.0,white,black,volkswagen credit inc/sc,1148100000.0,1075000000.0,Thu Jan 29 2018 04:30:00 GMT-0800 (PST)
2009,GMC,Savana Cargo,1500,Van,automatic,1gtfg15x991146664,BALIKPAPAN,24.0,132813.0,white,brown,enterprise fleet management exchange  inc.,161787500.0,148350000.0,Wed Jan 21 2019 02:00:00 GMT-0800 (PST)
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg6er291534,MEDAN,3.0,22771.0,—,black,enterprise holdings/gdp,362275000.0,354750000.0,Tue Feb 10 2018 04:30:00 GMT-0800 (PST)
2007,Audi,A8,L quattro,Sedan,automatic,waumv44e17n009932,SURABAYA,37.0,64910.0,black,brown,motor village la,376250000.0,408500000.0,Tue Jan 27 2018 04:30:00 GMT-0800 (PST)
2013,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5sa8df247941,JAKARTA,36.0,46660.0,gray,black,wholesale inc # 2,266600000.0,277350000.0,Tue Dec 23 2018 10:30:00 GMT-0800 (PST)
2012,Nissan,Altima,3.5 SR,Coupe,automatic,1n4bl2ep1cc160673,BALIKPAPAN,42.0,46937.0,white,beige,nissan-infiniti lt,325725000.0,339700000.0,Thu Jan 29 2018 02:00:00 GMT-0800 (PST)
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl2eda40696,MEDAN,45.0,22367.0,silver,gray,ford motor credit company,414950000.0,414950000.0,Tue Dec 23 2018 11:00:00 GMT-0800 (PST)
2010,Honda,Civic,DX-VP,Sedan,automatic,2hgfa1f31ah571493,MEDAN,27.0,45960.0,blue,gray,regional acceptance corporation / greenville,194037500.0,172000000.0,Thu Feb 19 2019 01:30:00 GMT-0800 (PST)
2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx3eub57411,SURABAYA,5.0,5421.0,gray,tan,ford motor credit company llc,400975000.0,393450000.0,Thu Feb 05 2019 02:00:00 GMT-0800 (PST)
2011,Kia,Sportage,LX,SUV,automatic,kndpb3a28b7055980,JAKARTA,29.0,1.0,gray,gray,remktgedge / cars / carfinance capital llc,285950000.0,53750000.0,Wed Jan 14 2018 10:15:00 GMT-0800 (PST)
2000,Honda,Civic,EX,Sedan,manual,2hgej8541yh507267,SURABAYA,19.0,17560.0,purple,tan,dt inventory,54825000.0,25800000.0,Tue Mar 10 2019 02:30:00 GMT-0700 (PDT)
2011,Scion,tC,Base,hatchback,manual,jtkjf5c7xb3019397,JAKARTA,39.0,35260.0,black,black,cat wholesale llc,255850000.0,275200000.0,Wed Jun 03 2018 03:00:00 GMT-0700 (PDT)
2011,Jaguar,XK,XKR,convertible,automatic,sajwa4ec8bmb39181,JAKARTA,34.0,30699.0,black,black,jpmorgan chase bank n.a.,907300000.0,817000000.0,Thu Jun 04 2018 05:30:00 GMT-0700 (PDT)
2011,Nissan,Maxima,3.5 SV,sedan,automatic,1n4aa5ap6bc866061,JAKARTA,44.0,44499.0,blue,black,nissan-infiniti lt,332175000.0,344000000.0,Thu Jun 11 2019 03:00:00 GMT-0700 (PDT)
2007,Lexus,ES 350,Base,Sedan,automatic,jthbj46g072036057,JAKARTA,37.0,107705.0,white,tan,car connection inc,215000000.0,238650000.0,Wed Jan 07 2019 12:30:00 GMT-0800 (PST)
2006,Ford,F-150,XLT,SuperCrew,,1ftpw145x6fa08797,JAKARTA,27.0,69005.0,gray,gray,santander consumer,267675000.0,307450000.0,Wed Mar 04 2018 01:05:00 GMT-0800 (PST)
2003,Volkswagen,Jetta,GL,Sedan,automatic,3vwrk69m33m139614,BALIKPAPAN,1.0,187765.0,gray,black,car financial services inc,24187500.0,7525000.0,Thu Dec 18 2019 11:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,,1n4al3ap3dn484544,MEDAN,41.0,21811.0,white,black,nissan-infiniti lt,304225000.0,338625000.0,Tue Feb 03 2019 04:30:00 GMT-0800 (PST)
2008,Honda,Fit,Sport,hatchback,automatic,jhmgd38698s021151,BALIKPAPAN,36.0,65461.0,black,black,trade in solutions,143512500.0,161250000.0,Wed Jun 17 2019 05:30:00 GMT-0700 (PDT)
2008,Buick,Enclave,CXL,suv,automatic,5gaev23748j156366,MEDAN,22.0,108507.0,silver,gray,wells fargo dealer services,256925000.0,236500000.0,Tue Jun 16 2019 02:30:00 GMT-0700 (PDT)
2008,Ford,F-150,Harley-Davidson,SuperCrew,automatic,1ftpw12518kc09632,SURABAYA,34.0,95539.0,red,black,autonation toyota fort myers,230050000.0,227900000.0,Tue Feb 03 2019 01:15:00 GMT-0800 (PST)
2010,Nissan,Sentra,2.0 SL,sedan,automatic,3n1ab6ap4al694826,JAKARTA,34.0,44020.0,black,black,nissan-infiniti lt,180600000.0,195650000.0,Fri Jun 19 2019 02:00:00 GMT-0700 (PDT)
2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx2dua25954,SURABAYA,44.0,96097.0,white,gray,wheels exchange llc,236500000.0,260150000.0,Wed Jan 07 2018 09:30:00 GMT-0800 (PST)
2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k54w318163,BALIKPAPAN,25.0,55484.0,blue,gray,myrddin fleet services,118250000.0,86000000.0,Wed Jan 07 2018 16:00:00 GMT-0800 (PST)
2010,Volkswagen,Jetta,Wolfsburg Edition,sedan,manual,3vwrj7aj2am062418,BALIKPAPAN,38.0,74320.0,black,black,jim ellis,184900000.0,193500000.0,Thu Jun 11 2018 03:00:00 GMT-0700 (PDT)
2012,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e32c1174212,MEDAN,37.0,44412.0,silver,gray,wheels exchange llc,197800000.0,219300000.0,Tue Feb 10 2019 01:15:00 GMT-0800 (PST)
2012,BMW,5 Series Gran Turismo,550i xDrive,Hatchback,automatic,wbasp4c54cc341937,SURABAYA,35.0,42143.0,blue,tan,financial services remarketing/rail cars,698750000.0,698750000.0,Wed Mar 04 2019 04:30:00 GMT-0800 (PST)
2012,Lexus,CT 200h,Premium,hatchback,automatic,jthkd5bh2c2072421,BALIKPAPAN,42.0,31399.0,black,beige,lexus financial services,383775000.0,391300000.0,Mon Jun 15 2019 11:00:00 GMT-0700 (PDT)
2012,Ford,F-250 Super Duty,XL,Crew Cab,automatic,1ft7w2b65cea38096,MEDAN,43.0,136480.0,white,gray,wheels exchange llc,298850000.0,294550000.0,Wed May 06 2019 03:00:00 GMT-0700 (PDT)
2014,Toyota,Camry,SE,sedan,automatic,4t1bf1fk6eu406043,BALIKPAPAN,39.0,21893.0,white,black,toyota motor sales usa inc/program,336475000.0,337550000.0,Wed Jun 17 2018 05:30:00 GMT-0700 (PDT)
2009,Toyota,Matrix,Base,Hatchback,automatic,2t1ku40e49c144072,BALIKPAPAN,35.0,76535.0,red,black,lenders option corporation,155337500.0,146200000.0,Thu Jan 15 2018 01:35:00 GMT-0800 (PST)
2010,Dodge,Grand Caravan,SE,Minivan,automatic,2d4rn4de7ar497127,BALIKPAPAN,37.0,81015.0,silver,black,lease plan usa,158025000.0,167700000.0,Tue Feb 03 2018 01:30:00 GMT-0800 (PST)
2015,Toyota,4Runner,Limited,suv,automatic,jtebu5jr1f5211920,SURABAYA,5.0,349.0,silver,black,toyota financial services,885800000.0,900850000.0,Tue Jul 07 2018 06:10:00 GMT-0700 (PDT)
2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe4ep072642,MEDAN,21.0,27627.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,283800000.0,260150000.0,Tue Dec 23 2018 12:00:00 GMT-0800 (PST)
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f65ca161167,MEDAN,19.0,26667.0,black,black,ahfc/honda lease trust/hvt  inc.,288100000.0,277350000.0,Thu Dec 18 2019 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e39e1122090,JAKARTA,19.0,43923.0,black,tan,the hertz corporation,266600000.0,249400000.0,Thu Jun 18 2019 04:30:00 GMT-0700 (PDT)
2002,Toyota,Camry Solara,SE V6,Convertible,automatic,2t1ff28p62c548258,SURABAYA,2.0,133999.0,silver,—,lexus of marin,53212500.0,45150000.0,Wed Jan 14 2019 07:05:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LT Fleet,sedan,automatic,2g1wg5e34d1238247,JAKARTA,41.0,48704.0,silver,black,the hertz corporation,204787500.0,208550000.0,Fri Jun 05 2018 02:00:00 GMT-0700 (PDT)
2014,Ford,E-Series Van,E-250,E-Series Van,,1ftne2ew6eda53916,JAKARTA,31.0,14104.0,white,gray,u-haul,420325000.0,419250000.0,Thu Jun 11 2018 02:05:00 GMT-0700 (PDT)
2013,Hyundai,Elantra,GLS,Sedan,,5npdh4aexdh330958,BALIKPAPAN,41.0,22481.0,red,beige,hyundai motor finance,258000000.0,260150000.0,Fri Jan 30 2018 01:00:00 GMT-0800 (PST)
2013,Dodge,Durango,Crew,SUV,automatic,1c4rdhdg2dc661602,JAKARTA,46.0,32969.0,red,black,td auto finance,498800000.0,503100000.0,Tue Jan 27 2019 01:00:00 GMT-0800 (PST)
2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt5dw512909,BALIKPAPAN,36.0,21264.0,black,gray,nissan north america inc.,322500000.0,275200000.0,Tue Jan 27 2018 01:30:00 GMT-0800 (PST)
1997,Ford,Explorer,Sport,SUV,automatic,1fmcu22x4vud17265,BALIKPAPAN,2.0,122702.0,black,—,titlemax of eastern ave. - nv 7,17737500.0,8600000.0,Thu Jan 29 2018 03:00:00 GMT-0800 (PST)
2015,Jeep,Compass,Sport,suv,automatic,1c4njcba8fd124478,JAKARTA,3.0,11672.0,gray,black,fca us/hertz/pv holding,349375000.0,324650000.0,Thu Jun 18 2018 04:00:00 GMT-0700 (PDT)
2010,Dodge,Ram Pickup 3500,Laramie,crew cab,automatic,3d73y3clxag152660,JAKARTA,27.0,76424.0,black,black,walser buick gmc of blm,735300000.0,606300000.0,Wed Jun 03 2018 03:30:00 GMT-0700 (PDT)
2008,Scion,tC,Base,hatchback,automatic,jtkde167080259363,MEDAN,28.0,121080.0,black,black,grow financial fcu,112875000.0,113950000.0,Thu Jun 18 2019 02:35:00 GMT-0700 (PDT)
2013,Honda,Civic,LX,sedan,automatic,2hgfb2f55dh559792,BALIKPAPAN,34.0,9714.0,white,—,ahfc/honda lease trust/hvt  inc. eot,303150000.0,295625000.0,Wed May 27 2019 08:35:00 GMT-0700 (PDT)
2004,Chevrolet,Avalanche,1500,Crew Cab,automatic,3gnec12t64g131761,JAKARTA,19.0,176676.0,blue,gray,plus auto sales corp,106962500.0,105350000.0,Tue Jan 27 2018 01:20:00 GMT-0800 (PST)
2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k689235312,BALIKPAPAN,4.0,72369.0,silver,beige,jpmorgan chase bank n.a.,140287500.0,152650000.0,Wed Feb 25 2019 02:15:00 GMT-0800 (PST)
2013,Chevrolet,Tahoe,LT,SUV,automatic,1gnskbe04dr293109,MEDAN,38.0,59481.0,white,black,enterprise veh exchange/rental,576200000.0,569750000.0,Wed Jan 21 2019 01:30:00 GMT-0800 (PST)
2005,Pontiac,Vibe,Base,Wagon,,5y2sl63865z425343,SURABAYA,2.0,143980.0,red,black,remarketing by ge/carville auto sales llc,65037500.0,58050000.0,Tue Feb 10 2019 10:00:00 GMT-0800 (PST)
2005,Chevrolet,Blazer,LS,SUV,,1gnct18xx5k110097,JAKARTA,3.0,155137.0,gray,black,duke industries,55362500.0,80625000.0,Thu Jan 15 2018 03:30:00 GMT-0800 (PST)
2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae1du520935,JAKARTA,28.0,43681.0,blue,gray,enterprise vehicle exchange/orange,201025000.0,199950000.0,Tue Feb 17 2019 04:30:00 GMT-0800 (PST)
2014,Hyundai,Santa Fe Sport,Sport,SUV,automatic,5xyztdlb4eg193189,SURABAYA,48.0,19115.0,silver,gray,enterprise veh exchange/rental,438600000.0,434300000.0,Fri Feb 13 2019 04:00:00 GMT-0800 (PST)
2003,Ford,F-150,XL,SuperCab,manual,1ftrx17223nb61554,JAKARTA,21.0,156316.0,white,gray,dt credit corporation,67725000.0,17200000.0,Tue Mar 03 2019 03:00:00 GMT-0800 (PST)
2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab2en214508,JAKARTA,35.0,37438.0,black,black,avis corporation,232200000.0,236500000.0,Tue Jan 27 2019 01:15:00 GMT-0800 (PST)
2007,Chevrolet,Equinox,LT,SUV,automatic,2cndl63f276007752,BALIKPAPAN,22.0,217151.0,silver,gray,autonation toyota pinellas park,31712500.0,73100000.0,Tue Jan 27 2018 10:00:00 GMT-0800 (PST)
2011,GMC,Sierra 1500,SLE,Extended Cab,automatic,1gtr2ve08bz147818,MEDAN,39.0,82953.0,silver,black,stratford hyundai,387000000.0,371950000.0,Thu Feb 12 2019 01:30:00 GMT-0800 (PST)
2012,Ford,Focus,SEL,sedan,automatic,1fahp3h25cl185029,BALIKPAPAN,32.0,109071.0,gray,black,santander consumer,139750000.0,96750000.0,Wed Jun 03 2018 03:00:00 GMT-0700 (PDT)
2011,Dodge,Avenger,Express,sedan,automatic,1b3bd4fb7bn578195,JAKARTA,35.0,100821.0,white,black,santander consumer,108037500.0,163400000.0,Wed Jun 17 2018 03:30:00 GMT-0700 (PDT)
2014,Ford,Expedition,XLT,suv,automatic,1fmju1j58eef20154,JAKARTA,44.0,33417.0,black,beige,avis corporation,660050000.0,666500000.0,Wed Jun 03 2018 05:30:00 GMT-0700 (PDT)
2006,Ford,F-250 Super Duty,XL,Crew Cab,,1ftsw21p46eb45388,JAKARTA,36.0,175561.0,red,gray,clear view systems,191350000.0,204250000.0,Wed Jan 21 2019 04:30:00 GMT-0800 (PST)
2004,Jeep,Liberty,Sport,suv,automatic,1j4gl48k84w273039,JAKARTA,25.0,132487.0,beige,gray,first southwestern financial services,61812500.0,45150000.0,Thu Jun 18 2019 03:00:00 GMT-0700 (PDT)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0jg8cr443842,BALIKPAPAN,43.0,48655.0,—,gray,ford motor credit company llc,258000000.0,322500000.0,Wed Jan 21 2018 02:00:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap9dn576452,JAKARTA,35.0,13548.0,white,black,nissan-infiniti lt,387000000.0,359050000.0,Wed Jun 10 2019 02:30:00 GMT-0700 (PDT)
2013,Audi,A7,Prestige quattro,Sedan,automatic,wau3gafc9dn053334,JAKARTA,24.0,21310.0,white,beige,audi north scottsdale,1027700000.0,956750000.0,Thu Dec 18 2018 12:30:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c56ce784645,JAKARTA,42.0,29133.0,gray,—,financial services remarketing (lease),885800000.0,903000000.0,Wed Feb 04 2018 04:30:00 GMT-0800 (PST)
2007,Toyota,Camry,LE,sedan,automatic,4t1be46k17u098187,SURABAYA,27.0,70797.0,blue,tan,honor finance,156950000.0,154800000.0,Thu May 28 2019 03:00:00 GMT-0700 (PDT)
2007,Honda,Pilot,LX,SUV,automatic,5fnyf28127b038383,JAKARTA,19.0,135644.0,silver,gray,wells fargo dealer services,137062500.0,86000000.0,Thu Jan 15 2018 02:00:00 GMT-0800 (PST)
2000,Mazda,Protege,ES,Sedan,automatic,jm1bj2232y0285997,SURABAYA,19.0,167642.0,green,gray,autonation chevrolet coral gables,20425000.0,27950000.0,Tue Feb 17 2019 10:00:00 GMT-0800 (PST)
2002,Lexus,SC 430,Base,convertible,automatic,jthfn48y420027930,MEDAN,21.0,100128.0,white,beige,autonation nissan delray,253700000.0,202100000.0,Tue Jun 09 2019 02:15:00 GMT-0700 (PDT)
2007,BMW,5 Series,525i,Sedan,automatic,wbane53547ck91927,JAKARTA,26.0,102514.0,silver,gray,david j leahy jr,184900000.0,161250000.0,Thu Jan 08 2019 15:30:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring-L,Minivan,,2c4rc1cg8er386659,BALIKPAPAN,49.0,22770.0,black,black,chrysler canada inc,571900000.0,571900000.0,Tue Jan 13 2018 10:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn520615,BALIKPAPAN,45.0,35461.0,black,black,nissan-infiniti lt,258000000.0,307450000.0,Thu Feb 05 2019 02:00:00 GMT-0800 (PST)
2011,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8bw165751,JAKARTA,27.0,27578.0,brown,beige,toyota financial services,324650000.0,294550000.0,Wed Jan 21 2019 02:00:00 GMT-0800 (PST)
2003,Volkswagen,Passat,GLS 1.8T,Sedan,automatic,wvwpd63b23p441661,BALIKPAPAN,25.0,124601.0,green,beige,darcars toyota,40312500.0,49450000.0,Tue Jan 13 2019 09:30:00 GMT-0800 (PST)
2011,Dodge,Durango,Express,SUV,automatic,1d4re2ggxbc631222,BALIKPAPAN,44.0,53170.0,gray,black,reliance motors llc,370875000.0,408500000.0,Thu Feb 12 2018 04:00:00 GMT-0800 (PST)
2007,Nissan,Armada,LE,SUV,automatic,5n1ba08a97n708016,SURABAYA,19.0,74766.0,green,gray,shamaley ford,250475000.0,249400000.0,Thu Feb 12 2018 04:00:00 GMT-0800 (PST)
2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv6ah277429,JAKARTA,27.0,70132.0,white,black,gm financial,218225000.0,154800000.0,Thu Jan 29 2018 01:30:00 GMT-0800 (PST)
2014,Dodge,Journey,SXT,SUV,,3c4pdccg9et136070,MEDAN,49.0,18341.0,black,black,chrysler canada inc,418175000.0,412800000.0,Tue Feb 10 2018 02:00:00 GMT-0800 (PST)
2006,Chevrolet,Cobalt,SS,Sedan,automatic,1g1am58b767696604,MEDAN,39.0,97057.0,black,gray,adcock brothers inc,85462500.0,111800000.0,Fri Feb 06 2019 01:00:00 GMT-0800 (PST)
2012,Acura,MDX,Technology Package,suv,automatic,2hnyd2h34ch517085,SURABAYA,36.0,37046.0,black,tan,acura of las vegas,608450000.0,618125000.0,Fri May 29 2018 04:55:00 GMT-0700 (PDT)
2009,Ford,Fusion,SE,Sedan,automatic,3fahp07109r212980,MEDAN,34.0,103732.0,gray,tan,santander consumer,123087500.0,139750000.0,Thu Feb 26 2019 02:10:00 GMT-0800 (PST)
2008,Chevrolet,HHR,SS,Wagon,automatic,3gnca63x18s715273,BALIKPAPAN,23.0,114679.0,black,black,baxter volkswagen,131687500.0,135450000.0,Thu Feb 19 2019 03:00:00 GMT-0800 (PST)
2013,BMW,X1,xDrive28i,SUV,,wbavl1c55dvr88019,MEDAN,5.0,17486.0,white,black,r hollenshead auto sales inc,537500000.0,546100000.0,Fri Jan 16 2018 01:00:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,SE,Sedan,automatic,3vwdx7aj5cm336755,MEDAN,27.0,23647.0,gray,black,vw credit,225750000.0,240800000.0,Wed Jan 21 2018 01:30:00 GMT-0800 (PST)
2014,Kia,Optima,LX,sedan,automatic,5xxgm4a74eg330574,BALIKPAPAN,42.0,31941.0,silver,gray,avis corporation,290250000.0,294550000.0,Wed Jun 03 2018 03:30:00 GMT-0700 (PDT)
2013,Lexus,IS 250,Base,Sedan,automatic,jthbf5c22d5191493,BALIKPAPAN,35.0,20666.0,silver,gray,lexus financial services,494500000.0,477300000.0,Tue May 26 2019 02:30:00 GMT-0700 (PDT)
2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse07bg291427,JAKARTA,41.0,109728.0,white,black,leasing associates,379475000.0,363350000.0,Thu May 28 2018 03:30:00 GMT-0700 (PDT)
2011,Ford,Fusion,SE,Sedan,automatic,3fahp0ha8br132265,MEDAN,34.0,73376.0,—,tan,wells fargo dealer services,176837500.0,169850000.0,Tue Feb 10 2019 01:30:00 GMT-0800 (PST)
2012,Toyota,RAV4,Base,suv,automatic,2t3zf4dv7cw119764,BALIKPAPAN,41.0,15843.0,beige,gray,world omni financial corporation,326800000.0,352600000.0,Fri Jun 12 2019 02:00:00 GMT-0700 (PDT)
2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f32ca132635,BALIKPAPAN,24.0,29990.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,265525000.0,215000000.0,Wed Feb 11 2018 01:30:00 GMT-0800 (PST)
2011,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c59bc878071,MEDAN,41.0,42844.0,white,gray,financial services remarketing (lease),597700000.0,580500000.0,Wed Jan 21 2018 04:30:00 GMT-0800 (PST)
2008,Saturn,Outlook,XR,SUV,automatic,5gzev23738j117992,JAKARTA,28.0,99192.0,silver,black,capital one auto finance,194575000.0,152650000.0,Tue Feb 17 2018 01:30:00 GMT-0800 (PST)
2004,Isuzu,Rodeo,S,SUV,automatic,4s2ck58w944301186,MEDAN,2.0,204688.0,silver,gray,credit acceptance corp/vrs/southfield,8600000.0,8600000.0,Tue Apr 14 2019 02:30:00 GMT-0700 (PDT)
2006,Hyundai,Sonata,LX,Sedan,automatic,5npeu46f76h092913,BALIKPAPAN,19.0,299366.0,blue,—,primeritus remarketing / pennsylvania state,2150000.0,12900000.0,Tue May 12 2018 02:30:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar7dm753816,JAKARTA,21.0,25261.0,silver,black,nissan infiniti lt,492350000.0,464400000.0,Tue Jan 06 2018 01:30:00 GMT-0800 (PST)
2013,GMC,Sierra 1500,SLE,crew cab,automatic,3gtp1ve04dg316455,SURABAYA,37.0,45763.0,silver,—,driscoll motors,539650000.0,559000000.0,Wed Jun 17 2019 03:00:00 GMT-0700 (PDT)
2004,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y34u234578,BALIKPAPAN,43.0,71969.0,beige,beige,hyundai of new port richey,54287500.0,111800000.0,Thu Dec 18 2018 09:45:00 GMT-0800 (PST)
2012,Ram,1500,ST,Quad Cab,automatic,1c6rd7ft0cs128714,JAKARTA,25.0,43937.0,silver,gray,excell auto center,447200000.0,376250000.0,Wed Dec 17 2018 11:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9dm759763,MEDAN,46.0,15508.0,black,black,nissan infiniti lt,498800000.0,533200000.0,Thu Jan 29 2019 02:00:00 GMT-0800 (PST)
2005,Chevrolet,Silverado 2500HD,Base,Regular Cab,automatic,1gchk24u75e197233,MEDAN,,72895.0,white,—,mc grath honda,209087500.0,249400000.0,Thu Dec 18 2019 10:00:00 GMT-0800 (PST)
2006,Audi,A3,2.0T,wagon,automatic,waumf78p76a052266,SURABAYA,36.0,145671.0,white,beige,hendrick chrysler dodge jeep ram of concord,104275000.0,79550000.0,Wed Jun 03 2018 07:00:00 GMT-0700 (PDT)
2012,BMW,5 Series,528i xDrive,sedan,,wbaxh5c55cdw10319,JAKARTA,39.0,16863.0,gray,black,financial services remarketing (lease),614900000.0,628875000.0,Wed Jun 03 2019 02:30:00 GMT-0700 (PDT)
2006,HUMMER,H2,Base,SUV,automatic,5grgn23u26h104167,BALIKPAPAN,43.0,71872.0,burgundy,gray,wards motorsports inc,516000000.0,496650000.0,Tue Jan 27 2018 02:35:00 GMT-0800 (PST)
2013,Chevrolet,Equinox,LTZ,SUV,automatic,2gnflgek2d6322731,SURABAYA,33.0,53163.0,blue,black,the hertz corporation,342925000.0,341871500.0,Tue Jun 16 2019 02:30:00 GMT-0700 (PDT)
2010,Ford,Escape,XLT,SUV,automatic,1fmcu0d72aka85661,SURABAYA,45.0,95770.0,silver,tan,wholesale inc # 2,155337500.0,219300000.0,Wed Feb 11 2018 02:30:00 GMT-0800 (PST)
2015,Volvo,V60,T5 Drive-E,Wagon,automatic,yv126meb6f1199643,SURABAYA,36.0,33131.0,gray,black,avis corporation,475150000.0,453650000.0,Tue Jun 16 2019 02:30:00 GMT-0700 (PDT)
2013,Land Rover,Range Rover,Supercharged,suv,,salgs2ef0da102568,SURABAYA,43.0,35259.0,beige,brown,j magnone auto group llc,1827500000.0,1784500000.0,Fri Jun 05 2018 02:00:00 GMT-0700 (PDT)
2008,Suzuki,XL7,Base,SUV,,2s3db117986104746,SURABAYA,34.0,80243.0,gold,beige,tdaf remarketing,113412500.0,81700000.0,Thu Jan 15 2019 02:00:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb0cf866409,MEDAN,29.0,34678.0,black,black,mercedes-benz financial services,470850000.0,451500000.0,Wed May 27 2019 05:30:00 GMT-0700 (PDT)
2003,Chevrolet,Silverado 1500,Base,Regular Cab,automatic,1gcec14x73z183259,JAKARTA,19.0,155812.0,white,gray,autonation chevrolet coral gables,73637500.0,55900000.0,Tue May 26 2018 10:30:00 GMT-0700 (PDT)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrec2eg473298,SURABAYA,43.0,11990.0,silver,black,enterprise veh exchange/rental,571900000.0,576200000.0,Tue Feb 10 2019 01:30:00 GMT-0800 (PST)
2003,Chevrolet,Tahoe,LS,SUV,,1gnek13t53r231589,JAKARTA,26.0,129792.0,beige,gray,rlb investments,102125000.0,137600000.0,Wed Jan 21 2018 02:20:00 GMT-0800 (PST)
